id,评论页码,评论id,评论时间,评论点赞数,评论者IP归属地,评论者姓名,评论者id,评论者性别,评论者关注数,评论者粉丝数,评论内容
4792986733644304,1,4792986737311763,2022-07-19 16:49:09,0,,超话社区,5878659096,m,273,2.34亿,你好，你感兴趣的“李子柒”已开通了超话社区～ 超话社区是微博旗下兴趣互动社区，快来与志同道合的小伙伴们一起交流互动吧！ 戳我进入&gt;&gt; 李子柒
4792946484318684,1,4792947562776619,2022-07-19 14:13:30,2,来自广东,ilisalu,5357347705,f,40,1,中国真的需要这种对外文化输出的人才啊！！
4792946484318684,4,4793009486960741,2022-07-19 18:19:34,0,,超话社区,5878659096,m,273,2.34亿,你好，你感兴趣的“李子柒”已开通了超话社区～ 超话社区是微博旗下兴趣互动社区，快来与志同道合的小伙伴们一起交流互动吧！ 戳我进入&gt;&gt; 李子柒
4792942285292326,1,4792942285820485,2022-07-19 13:52:32,0,,超话社区,5878659096,m,273,2.34亿,你好，你感兴趣的“李子柒”已开通了超话社区～ 超话社区是微博旗下兴趣互动社区，快来与志同道合的小伙伴们一起交流互动吧！ 戳我进入&gt;&gt; 李子柒
4792936619835797,1,4792936619839400,2022-07-19 13:30:01,0,,超话社区,5878659096,m,273,2.34亿,你好，你感兴趣的“李子柒”已开通了超话社区～ 超话社区是微博旗下兴趣互动社区，快来与志同道合的小伙伴们一起交流互动吧！ 戳我进入&gt;&gt; 李子柒
4792932912075104,1,4792932916006291,2022-07-19 13:15:18,0,,超话社区,5878659096,m,273,2.34亿,你好，你感兴趣的“李子柒”已开通了超话社区～ 超话社区是微博旗下兴趣互动社区，快来与志同道合的小伙伴们一起交流互动吧！ 戳我进入&gt;&gt; 李子柒
4792932673262374,1,4792995993882513,2022-07-19 17:25:57,0,,超话社区,5878659096,m,273,2.34亿,你好，你感兴趣的“李子柒”已开通了超话社区～ 超话社区是微博旗下兴趣互动社区，快来与志同道合的小伙伴们一起交流互动吧！ 戳我进入&gt;&gt; 李子柒
4792930155628079,1,4792930923710938,2022-07-19 13:07:23,3,来自江苏,青红捏了个皂白丶,5299195011,f,897,173,诶 Dior还说参考韩国...实际放的图还是我国的...难道就没人关心关心吗
4792930155628079,3,4792992189388511,2022-07-19 17:10:50,0,,超话社区,5878659096,m,273,2.34亿,你好，你感兴趣的“李子柒”已开通了超话社区～ 超话社区是微博旗下兴趣互动社区，快来与志同道合的小伙伴们一起交流互动吧！ 戳我进入&gt;&gt; 李子柒
4792930155628079,2,4792931750250345,2022-07-19 13:10:40,2,来自四川,yummy余米,2149854151,m,565,495,知道越多，会对--越失望的
4792924833582892,1,4792985457527480,2022-07-19 16:44:05,0,,超话社区,5878659096,m,273,2.34亿,你好，你感兴趣的“李子柒”已开通了超话社区～ 超话社区是微博旗下兴趣互动社区，快来与志同道合的小伙伴们一起交流互动吧！ 戳我进入&gt;&gt; 李子柒
4792924133656275,1,4792984731910790,2022-07-19 16:41:11,0,,超话社区,5878659096,m,273,2.34亿,你好，你感兴趣的“李子柒”已开通了超话社区～ 超话社区是微博旗下兴趣互动社区，快来与志同道合的小伙伴们一起交流互动吧！ 戳我进入&gt;&gt; 李子柒
4792921029086298,1,4792981675312500,2022-07-19 16:29:02,0,,超话社区,5878659096,m,273,2.34亿,你好，你感兴趣的“李子柒”已开通了超话社区～ 超话社区是微博旗下兴趣互动社区，快来与志同道合的小伙伴们一起交流互动吧！ 戳我进入&gt;&gt; 李子柒
4792919410346631,1,4792979975309245,2022-07-19 16:22:18,0,,超话社区,5878659096,m,273,2.34亿,你好，你感兴趣的“李子柒”已开通了超话社区～ 超话社区是微博旗下兴趣互动社区，快来与志同道合的小伙伴们一起交流互动吧！ 戳我进入&gt;&gt; 李子柒
4792918713310377,2,4792930319732783,2022-07-19 13:04:59,0,来自广东,乌龙菓菓,7761348781,f,3,0,你可拉倒吧
4792918713310377,3,4792979258609357,2022-07-19 16:19:27,0,,超话社区,5878659096,m,273,2.34亿,你好，你感兴趣的“李子柒”已开通了超话社区～ 超话社区是微博旗下兴趣互动社区，快来与志同道合的小伙伴们一起交流互动吧！ 戳我进入&gt;&gt; 李子柒
4792916872005304,2,4792977438807426,2022-07-19 16:12:13,0,,超话社区,5878659096,m,273,2.34亿,你好，你感兴趣的“李子柒”已开通了超话社区～ 超话社区是微博旗下兴趣互动社区，快来与志同道合的小伙伴们一起交流互动吧！ 戳我进入&gt;&gt; 李子柒
4792916092132048,1,4792976683043509,2022-07-19 16:09:13,0,,超话社区,5878659096,m,273,2.34亿,你好，你感兴趣的“李子柒”已开通了超话社区～ 超话社区是微博旗下兴趣互动社区，快来与志同道合的小伙伴们一起交流互动吧！ 戳我进入&gt;&gt; 李子柒
4792914813387718,137,4792934505122365,2022-07-19 13:21:37,24,来自河北,2的很有范儿-,1895938705,f,1146,13.4万,你们都吃过李子柒的螺狮粉吗？
4792914813387718,125,4792922451740657,2022-07-19 12:33:43,3,来自河北,汎1995FunFairFuture,6597713782,f,46,4,李子柒是谁？网红吗
